,id,length,cost/km (millions),cheap?,clength,ctunnel,anglo?,inflation index,real cost (2021 dollars)
147,7426.0,1.9,103.94736842105263,0.0,0.0,0.0,0.0,1.3440972222222225,265.45920138888897
148,7427.0,1.5,255.66666666666666,0.0,0.0,0.0,0.0,1.2630455352689747,484.3779627756518
149,7432.0,6.3,223.6825396825397,0.0,0.0,0.0,0.0,1.144608340091917,1612.9820728575294
150,7433.0,24.0,196.53333333333333,0.0,0.0,0.0,0.0,1.079101737506322,5089.9070754698205
151,7434.0,38.6,138.860103626943,0.0,0.0,0.0,0.0,1.0469802288156225,5611.814026451736
152,7435.0,3.5,854.7608571428572,0.0,0.0,0.0,1.0,1.079101737506322,3228.308741333376
153,7440.0,3.9,108.76666666666668,0.0,0.0,0.0,0.0,1.2630455352689747,535.7712856057465
154,7441.0,1.3,178.0,0.0,0.0,0.0,0.0,1.1290087372451638,261.2526217985309
155,7442.0,2.6,255.50000000000003,0.0,0.0,0.0,0.0,1.059896658413421,704.0893501840357
156,7443.0,1.9,99.3421052631579,1.0,1.9,1.9,0.0,1.4344626786659609,270.7548305982001
157,7448.0,4.5,115.84444444444446,1.0,4.5,4.5,0.0,1.2046377017769263,627.9776339363118
158,7449.0,4.4,127.04545454545453,1.0,4.4,4.4,0.0,1.2046377017769263,673.3924752933018
159,7450.0,0.7,125.00000000000001,1.0,0.7,0.7,0.0,1.2585519012740187,110.12329136147663
160,7451.0,2.5,160.0,1.0,2.5,2.5,0.0,1.2585519012740187,503.4207605096075
161,7456.0,47.8,161.92887029288704,1.0,47.8,43.7,0.0,1.144608340091917,8859.497473979454
162,7457.0,5.9,61.474576271186436,1.0,5.9,5.6,0.0,1.2046377017769263,436.92209443449116
163,7458.0,18.2,61.26373626373626,1.0,18.2,11.6,0.0,1.3440972222222225,1498.668402777778
164,7459.0,11.3,100.08849557522123,1.0,11.3,9.2,0.0,1.2426624353377114,1405.4512143669515
165,7464.0,21.3,502.86572769953057,0.0,0.0,0.0,0.0,1.059896658413421,11352.59550413249
166,7465.0,31.2,539.0871794871795,0.0,0.0,0.0,0.0,1.0,16819.52
167,7466.0,19.6,673.2734693877551,0.0,0.0,0.0,0.0,1.0,13196.16
168,7467.0,15.7,186.898274522293,0.0,0.0,0.0,0.0,1.1290087372451638,3312.8536231139096
169,7472.0,1.0,66.25,0.0,0.0,0.0,0.0,1.3440972222222225,89.04644097222224
170,7473.0,1.8,160.33333333333334,0.0,0.0,0.0,0.0,1.2046377017769263,347.65844073282096
171,7474.0,2.5,204.88000000000002,0.0,0.0,0.0,0.0,1.0469802288156225,536.2632731993618
172,7475.0,27.1,222.84132841328412,0.0,0.0,0.0,0.0,1.1054585509138382,6675.864188968669
173,7480.0,12.8,148.87875,0.0,0.0,0.0,0.0,1.3068746322500988,2490.443029198136
174,7481.0,19.0,250.93800000000002,0.0,0.0,0.0,0.0,1.1054585509138382,5270.629599135118
175,7482.0,26.9,215.86048327137547,0.0,0.0,0.0,0.0,1.143251327963817,6638.456893767114
176,7483.0,22.1,177.34235294117647,0.0,0.0,0.0,0.0,1.0469802288156225,4103.394013469289
177,7488.0,34.5,133.1804347826087,0.0,0.0,0.0,0.0,1.059896658413421,4869.9336738286065
178,7489.0,30.4,145.92789473684212,0.0,0.0,0.0,0.0,1.059896658413421,4701.922035226887
179,7490.0,35.9,530.9448467966574,0.0,0.0,0.0,0.0,1.0,19060.920000000002
180,7491.0,15.8,138.41772151898735,0.0,0.0,0.0,0.0,1.0,2187.0
181,7496.0,19.7,278.8629441624366,0.0,0.0,0.0,0.0,1.1290087372451638,6202.322398930032
182,7497.0,11.3,535.221238938053,0.0,0.0,0.0,0.0,1.0,6048.0
183,7498.0,8.9,588.9438202247192,0.0,0.0,0.0,0.0,1.0,5241.6
184,7499.0,2.4,287.5,0.0,0.0,0.0,0.0,1.059896658413421,731.3286943052606
185,7504.0,20.3,51.42857142857142,0.0,0.0,0.0,0.0,1.2630455352689747,1318.6195388208096
186,7505.0,8.9,117.97752808988764,0.0,0.0,0.0,0.0,1.059896658413421,1112.891491334092
187,7506.0,8.9,207.86516853932582,0.0,0.0,0.0,0.0,1.4344626786659609,2653.7559555320277
188,7507.0,4.1,394.9024390243903,0.0,0.0,0.0,0.0,1.66239263803681,2691.5799202453986
189,7512.0,27.8,227.5913669064748,0.0,0.0,0.0,0.0,1.6264705882352943,10290.744470588237
190,7513.0,5.6,535.7142857142858,0.0,0.0,0.0,0.0,1.0,3000.0
191,7514.0,16.0,90.825,0.0,0.0,0.0,0.0,1.7780183727034122,2583.8162992125986
192,7515.0,3.0,365.0,0.0,0.0,0.0,0.0,1.0469802288156225,1146.4433505531067
193,7520.0,3.8,94.73684210526316,0.0,0.0,0.0,0.0,1.2046377017769263,433.66957263969346
194,7521.0,2.7,400.21481481481476,0.0,0.0,0.0,0.0,1.144608340091917,1236.8408801365235
195,7522.0,10.0,276.26,0.0,0.0,0.0,0.0,1.1290087372451638,3118.9995375134895
196,7523.0,1.6,366.875,0.0,0.0,0.0,0.0,1.079101737506322,633.4327199162111
197,7528.0,15.9,265.66037735849056,0.0,0.0,0.0,0.0,1.0469802288156225,4422.444486517189
198,7529.0,1.5,99.824,1.0,1.5,1.4,0.0,1.2426624353377114,186.07130241772754
199,7530.0,9.6,143.79166666666669,1.0,9.6,4.8,0.0,1.2426624353377114,1715.371225740177
200,7531.0,58.3,125.39245283018869,0.0,0.0,0.0,0.0,1.5300395256916999,11185.17034782609
201,7536.0,73.9,195.21853856562922,0.0,0.0,0.0,0.0,1.0469802288156225,15104.417318042899
202,7537.0,42.3,217.94799054373524,0.0,0.0,0.0,0.0,1.2046377017769263,11105.79590022184
203,7538.0,5.5,126.60363636363637,0.0,0.0,0.0,0.0,1.2046377017769263,838.8133245013094
204,7539.0,6.3,199.9936507936508,0.0,0.0,0.0,0.0,1.143251327963817,1440.450943181291
205,7544.0,38.2,122.70157068062827,0.0,0.0,0.0,0.0,1.144608340091917,5365.008211678833
206,7545.0,43.8,122.9150684931507,0.0,0.0,0.0,0.0,1.079101737506322,5809.538442178036
207,7546.0,40.0,149.225,0.0,0.0,0.0,0.0,1.059896658413421,6326.5231540697105
208,7547.0,72.0,130.55555555555554,0.0,0.0,0.0,0.0,1.1290087372451638,10612.68213010454
209,7552.0,31.0,70.5,0.0,0.0,0.0,0.0,1.0469802288156225,2288.1752900765428
210,7553.0,45.1,239.46784922394679,0.0,0.0,0.0,0.0,1.144608340091917,12361.770072992702
211,7554.0,9.1,198.8571428571429,0.0,0.0,0.0,0.0,1.079101737506322,1952.7425041914407
212,7555.0,118.9,273.4617325483599,0.0,0.0,0.0,0.0,1.0,32514.6
213,7560.0,8.8,121.08636363636364,1.0,8.8,8.4,0.0,1.1290087372451638,1203.026550058957
214,7561.0,3.7,195.9872972972973,0.0,0.0,0.0,0.0,1.0469802288156225,759.2208538663351
215,7562.0,20.0,300.0,0.0,0.0,0.0,0.0,1.0,6000.0
216,7563.0,3.5,425.65714285714284,0.0,0.0,0.0,0.0,1.0,1489.8
217,7568.0,14.29,233.25962211336602,0.0,0.0,0.0,0.0,1.059896658413421,3532.9323335562885
218,7569.0,14.0,72.56571428571428,0.0,0.0,0.0,0.0,1.1290087372451638,1146.9825563421068
219,7570.0,15.4,301.68883116883114,0.0,0.0,0.0,0.0,1.143251327963817,5311.5548157305175
220,7571.0,51.0,148.22823529411767,0.0,0.0,0.0,0.0,1.2046377017769263,9106.627355860923
221,7576.0,27.8,234.70250359712227,0.0,0.0,0.0,0.0,1.0,6524.7296
222,7577.0,11.5,112.92619130434782,0.0,0.0,0.0,0.0,1.0469802288156225,1359.6621305276826
223,7578.0,17.9,391.722905027933,0.0,0.0,0.0,0.0,1.0,7011.84
224,7579.0,43.0,279.96093023255816,0.0,0.0,0.0,0.0,1.4344626786659609,17268.52075383801
225,7584.0,15.4,430.6083116883117,0.0,0.0,0.0,0.0,1.16317603677932,7713.448348665206
226,7585.0,8.2,237.74439024390247,0.0,0.0,0.0,0.0,1.0,1949.5040000000001
227,7586.0,16.7,235.92675449101796,0.0,0.0,0.0,0.0,1.143251327963817,4504.38370874663
228,7587.0,8.5,150.98823529411763,0.0,0.0,0.0,1.0,1.079101737506322,1384.9191699156136
229,7592.0,12.0,76.59,0.0,0.0,0.0,0.0,1.9895007342143909,1828.5103348017624
230,7593.0,20.0,232.3,0.0,0.0,0.0,0.0,1.0,4646.0
231,7594.0,1.1,81.54545454545455,0.0,0.0,0.0,0.0,1.1054585509138382,99.15963201697129
